Source,Target,Type,Kind,Id,Label,timeset,Weight
@rotelanico,@varskysports,Directed,Retweets_from,1331,,<[2020-06-02T18:21:53.321Z]>,1
@rotelanico,1267868628138983429,Directed,Retweets,1332,,<[2020-06-02T18:21:53.321Z]>,1
@rotelanico,@varskysports,Directed,Quotes_from,1333,,<[2020-06-02T18:21:53.322Z]>,1
@rotelanico,1267867355692126208,Directed,Quotes,1334,,<[2020-06-02T18:21:53.322Z]>,1
@avfc_news,1267884134116007936,Directed,Tweets,1335,,<[2020-06-02T18:21:55.404Z]>,1
1267884134116007936,"#avfc",Directed,Has_hashtag,1336,,<[2020-06-02T18:21:55.404Z]>,1
1267884134116007936,https://www.birminghammail.co.uk/sport/football/football-news/aston-villa-matches-project-restart-18352479,Directed,Has_link,1337,,<[2020-06-02T18:21:55.404Z]>,1
@fluffybook,1267884137152761857,Directed,Tweets,1338,,<[2020-06-02T18:21:55.404Z]>,1
@camxdaisy,1267681362426900481,Directed,Tweets,1339,,<[2020-06-02T18:21:55.404Z]>,1
@fluffybook,@camxdaisy,Directed,Retweets_from,1340,,<[2020-06-02T18:21:55.404Z]>,1
@fluffybook,1267681362426900481,Directed,Retweets,1341,,<[2020-06-02T18:21:55.404Z]>,1
@bokenotdead,1267884137949671425,Directed,Tweets,1342,,<[2020-06-02T18:21:55.405Z]>,1
@cronopio777,1267880555309404160,Directed,Tweets,1343,,"<[2020-06-02T18:21:55.405Z, 2020-06-02T18:22:08.292Z]>",1
1267880555309404160,http://pbs.twimg.com/media/EZhqn-1XYAEOlku.jpg,Directed,Has_media,1344,,"<[2020-06-02T18:21:55.405Z, 2020-06-02T18:22:08.292Z]>",1
@bokenotdead,@cronopio777,Directed,Retweets_from,1345,,<[2020-06-02T18:21:55.405Z]>,1
@bokenotdead,1267880555309404160,Directed,Retweets,1346,,<[2020-06-02T18:21:55.405Z]>,1
@styleoforianaa,1267884138889166848,Directed,Tweets,1347,,<[2020-06-02T18:21:55.406Z]>,1
@badgyalveevee,1267659555867185159,Directed,Tweets,1348,,<[2020-06-02T18:21:55.406Z]>,1
1267659555867185159,http://pbs.twimg.com/media/EZehpP4WkAoUMV8.jpg,Directed,Has_media,1349,,<[2020-06-02T18:21:55.406Z]>,1
1267659555867185159,http://pbs.twimg.com/media/EZehpP6XkAMYgkZ.jpg,Directed,Has_media,1350,,<[2020-06-02T18:21:55.406Z]>,1
1267659555867185159,http://pbs.twimg.com/media/EZehpP4WoAIzL0_.jpg,Directed,Has_media,1351,,<[2020-06-02T18:21:55.406Z]>,1
1267659555867185159,http://pbs.twimg.com/media/EZehpP4XYAA8vLt.jpg,Directed,Has_media,1352,,<[2020-06-02T18:21:55.406Z]>,1
@styleoforianaa,@badgyalveevee,Directed,Retweets_from,1353,,<[2020-06-02T18:21:55.406Z]>,1
@styleoforianaa,1267659555867185159,Directed,Retweets,1354,,<[2020-06-02T18:21:55.406Z]>,1
@eddrickation,1267884140151652358,Directed,Tweets,1355,,<[2020-06-02T18:21:55.407Z]>,1
@elikasadeghi,1267666175418200065,Directed,Tweets,1356,,<[2020-06-02T18:21:55.407Z]>,1
@elikasadeghi,@abc,Directed,Quotes_from,1357,,<[2020-06-02T18:21:55.407Z]>,1
@elikasadeghi,912710883087810560,Directed,Quotes,1358,,<[2020-06-02T18:21:55.407Z]>,1
@eddrickation,@elikasadeghi,Directed,Retweets_from,1359,,<[2020-06-02T18:21:55.407Z]>,1
@eddrickation,1267666175418200065,Directed,Retweets,1360,,<[2020-06-02T18:21:55.407Z]>,1
@eddrickation,@abc,Directed,Quotes_from,1361,,<[2020-06-02T18:21:55.407Z]>,1
@eddrickation,912710883087810560,Directed,Quotes,1362,,<[2020-06-02T18:21:55.407Z]>,1
@9ja_footballers,1267884140684292102,Directed,Tweets,1363,,<[2020-06-02T18:21:55.408Z]>,1
1267884140684292102,"#naijafootballers",Directed,Has_hashtag,1364,,<[2020-06-02T18:21:55.408Z]>,1
1267884140684292102,https://m.youtube.com/channel/UCrdA-PgJ4QjKp2FqjiKRIWw,Directed,Has_link,1365,,<[2020-06-02T18:21:55.408Z]>,1
